name,eye_cnt,diff,start_time,end_time,date
ShellExperienceHost.exe,0,0.0,20:33:40,20:33:40,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:40,20:33:40,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:40,20:33:41,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:41,20:33:41,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:41,20:33:42,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:42,20:33:42,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:42,20:33:43,2023-07-27
ShellExperienceHost.exe,1,0.0,20:33:43,20:33:43,2023-07-27
ShellExperienceHost.exe,0,0.0166672468185425,20:33:43,20:33:44,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:44,20:33:45,2023-07-27
ShellExperienceHost.exe,1,0.0,20:33:45,20:33:45,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:45,20:33:45,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:45,20:33:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:46,20:33:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:46,20:33:46,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:46,20:33:46,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:46,20:33:47,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:47,20:33:47,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:47,20:33:47,2023-07-27
ShellExperienceHost.exe,1,0.0333331525325775,20:33:47,20:33:49,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:49,20:33:49,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:49,20:33:49,2023-07-27
ShellExperienceHost.exe,2,0.0166665762662888,20:33:49,20:33:50,2023-07-27
ShellExperienceHost.exe,0,0.0,20:33:50,20:33:50,2023-07-27
ShellExperienceHost.exe,0,0.0166665762662888,20:33:50,20:33:51,2023-07-27
Code.exe,1,0.0333338230848312,20:33:51,20:33:53,2023-07-27
Code.exe,0,0.149999856948853,20:33:53,20:34:02,2023-07-27
Code.exe,0,0.0333331525325775,20:34:02,20:34:04,2023-07-27
Code.exe,0,0.0,20:34:04,20:34:04,2023-07-27
Code.exe,0,0.0166665762662888,20:34:04,20:34:05,2023-07-27
Code.exe,0,0.0333338230848312,20:34:05,20:34:07,2023-07-27
Code.exe,1,0.0,20:34:07,20:34:07,2023-07-27
